ROUND;X;Y;VIEWX;VIEWY;PLAYERID;TEAM
7;-1572;722;270;0;5;0
7;674;877;101;359;6;1
7;295;-358;239;0;8;1
7;642;1606;158;6;9;1
7;-157;809;73;359;10;0
7;-841;-949;17;2;1;0
7;-961;954;26;0;2;0
7;630;1827;206;0;3;1
7;158;-552;204;4;4;1
7;-1572;722;270;0;5;0
7;650;1129;105;359;6;1
7;88;-293;238;0;8;1
7;548;1657;215;15;9;1
7;-205;917;67;359;10;0
7;-859;-735;342;2;1;0
7;-961;946;24;0;2;0
7;19;-504;185;5;4;1
7;-1572;722;270;0;5;0
7;701;1367;137;2;6;1
7;-60;-249;264;0;8;1
7;371;1660;192;8;9;1
7;-234;934;65;359;10;0
7;-899;-860;0;359;1;0
7;-977;1025;23;0;2;0
7;-161;-474;238;4;4;1
7;-1572;722;270;0;5;0
7;584;1565;143;357;6;1
7;-190;-263;290;359;8;1
7;419;1500;202;5;9;1
7;-176;913;86;359;10;0
7;-847;-1007;22;0;1;0
7;-934;1243;7;0;2;0
7;-272;-619;231;5;4;1
7;-1572;722;270;0;5;0
7;678;1681;159;2;6;1
7;-145;-418;277;358;8;1
7;371;1522;177;7;9;1
7;-120;824;339;0;10;0
7;-774;-1064;34;0;1;0
7;-842;1364;1;359;2;0
7;-398;-691;262;4;4;1
7;-1572;722;270;0;5;0
7;733;1689;162;0;6;1
7;-197;-570;289;358;8;1
7;272;1531;195;7;9;1
7;-174;604;309;359;10;0
7;-743;-1064;37;359;1;0
7;-723;1407;358;359;2;0
7;-410;-691;264;4;4;1
7;-1572;722;270;0;5;0
7;738;1691;163;0;6;1
7;-336;-739;229;1;8;1
7;310;1545;137;6;9;1
7;-224;446;347;1;10;0
7;-743;-1064;35;4;1;0
7;-598;1405;358;359;2;0
7;-334;-709;230;2;4;1
7;-1572;722;270;0;5;0
7;745;1700;163;359;6;1
7;-402;-861;210;4;8;1
7;286;1529;216;8;9;1
7;-231;405;350;0;10;0
7;-811;-911;8;7;1;0
7;-455;1430;34;0;2;0
7;-305;-786;200;5;4;1
7;-1572;722;270;0;5;0
7;744;1698;165;0;6;1
7;400;1523;207;6;9;1
7;-185;475;358;0;10;0
7;-805;-678;321;3;1;0
7;-410;1616;34;0;2;0
7;-292;-834;180;9;4;1
7;-1572;722;270;0;5;0
7;554;1715;201;353;6;1
7;407;1419;191;1;9;1
7;-171;494;320;1;10;0
7;-829;-479;299;0;1;0
7;-357;1822;9;1;2;0
7;-410;-720;280;11;4;1
7;-1572;722;270;0;5;0
7;328;1676;137;3;6;1
7;371;1356;165;4;9;1
7;-294;303;359;0;10;0
7;-903;-660;327;0;1;0
7;-200;1951;344;359;2;0
7;-410;-719;276;13;4;1
7;-1572;722;270;0;5;0
7;119;1730;94;0;6;1
7;280;1329;180;3;9;1
7;-305;76;208;3;10;0
7;-914;-889;4;0;1;0
7;-105;2021;311;0;2;0
7;-355;-753;206;3;4;1
7;-1572;722;270;0;5;0
7;30;1907;167;4;6;1
7;181;1290;160;5;9;1
7;-479;93;166;7;10;0
7;-830;-1024;10;5;1;0
7;-93;1963;327;2;2;0
7;-309;-927;189;7;4;1
7;-1572;722;270;0;5;0
7;118;1291;152;5;9;1
7;-713;157;225;9;10;0
7;-45;2004;326;359;2;0
7;-325;-941;215;6;4;1
7;-1572;722;270;0;5;0
7;203;1353;197;0;9;1
7;-823;26;308;5;10;0
7;-215;1861;263;2;2;0
7;-368;-1154;276;9;4;1
7;-1572;722;270;0;5;0
7;311;1351;121;6;9;1
7;-844;-222;292;0;10;0
7;-200;1681;261;2;2;0
7;-337;-1349;15;9;4;1
7;-1572;722;270;0;5;0
7;405;1404;131;1;9;1
7;-901;-423;298;0;10;0
7;-313;1590;272;4;2;0
7;-185;-1240;94;14;4;1
7;-1572;722;270;0;5;0
7;372;1506;170;5;9;1
7;-934;-616;323;0;10;0
7;-380;1416;11;2;2;0
7;-185;-1240;95;14;4;1
7;-1572;722;270;0;5;0
7;264;1553;194;1;9;1
7;-894;-716;333;357;10;0
7;-374;1545;20;3;2;0
7;-185;-1240;105;14;4;1
7;-1572;722;270;0;5;0
7;248;1607;188;6;9;1
7;-784;-763;331;356;10;0
7;-310;1516;0;1;2;0
7;-185;-1240;108;15;4;1
7;-1572;722;270;0;5;0
7;164;1814;170;6;9;1
7;-704;-836;351;0;10;0
7;-295;1534;357;1;2;0
7;-169;-1371;77;14;4;1
7;-1572;722;270;0;5;0
7;106;1749;217;7;9;1
7;-648;-939;15;359;10;0
7;-181;1486;12;1;2;0
7;-84;-1265;68;15;4;1
7;-1572;722;270;0;5;0
7;43;1755;143;7;9;1
7;-527;-952;335;357;10;0
7;-64;1448;63;0;2;0
7;89;-1153;133;8;4;1
7;-1572;722;270;0;5;0
7;68;1815;206;6;9;1
7;-415;-963;338;355;10;0
7;-87;1446;95;0;2;0
7;-1572;722;270;0;5;0
7;-394;-1039;23;359;10;0
7;-260;1365;265;10;2;0
7;-1572;722;270;0;5;0
7;-403;-1249;354;4;10;0
7;-483;1256;210;9;2;0
7;-1572;722;270;0;5;0
7;-334;-1352;38;6;10;0
7;-598;1317;40;7;2;0
7;-1572;722;270;0;5;0
7;-205;-1218;317;51;10;0
7;-443;1329;43;8;2;0
7;-1572;722;270;0;5;0
7;-205;-1218;314;54;10;0
7;-219;1405;24;6;2;0
7;-1572;722;270;0;5;0
7;-205;-1218;314;54;10;0
7;-2;1495;60;10;2;0
7;-1572;722;270;0;5;0
7;-205;-1218;314;54;10;0
7;16;1597;356;3;2;0
7;-1572;722;270;0;5;0
7;-205;-1218;314;54;10;0
7;169;1746;3;4;2;0
7;-1572;722;270;0;5;0
7;-205;-1218;314;54;10;0
8;415;1717;7;8;2;0
8;-1572;722;270;0;5;0
8;-198;-1224;314;20;10;0
8;601;1830;345;8;2;0
8;-1572;722;270;0;5;0
8;-31;-1390;17;13;10;0
8;731;1759;275;4;2;0
8;-1572;722;270;0;5;0
8;132;-1350;111;39;10;0
8;758;1517;256;4;2;0
8;-1572;722;270;0;5;0
8;164;-1259;90;18;10;0
8;705;1307;271;5;2;0
8;-1572;722;270;0;5;0
8;110;-1114;88;19;10;0
8;701;1076;252;4;2;0
8;-1572;722;270;0;5;0
8;79;-921;82;19;10;0
8;-1442;868;270;0;1;0
8;-1414;723;276;0;2;0
8;2903;204;182;0;3;1
8;3146;248;182;0;4;1
8;-1477;503;270;0;5;0
8;3092;-5;182;0;6;1
8;-1469;753;270;0;7;0
8;2947;-47;182;0;8;1
8;3084;127;182;0;9;1
8;-1327;755;270;0;10;0
8;-1442;868;270;0;1;0
8;-1414;723;262;354;2;0
8;2903;204;182;0;3;1
8;3146;248;182;0;4;1
8;-1477;503;277;0;5;0
8;3092;-5;182;0;6;1
8;-1469;753;270;0;7;0
8;2947;-47;182;0;8;1
8;3084;127;182;359;9;1
8;-1327;755;198;356;10;0
8;-1442;868;270;0;1;0
8;-1414;723;262;354;2;0
8;2903;204;182;0;3;1
8;3146;248;182;0;4;1
8;-1477;503;277;0;5;0
8;3092;-5;182;0;6;1
8;-1469;753;270;0;7;0
8;2947;-47;181;359;8;1
8;3084;127;182;359;9;1
8;-1327;755;198;357;10;0
8;-1442;868;270;0;1;0
8;-1414;723;262;354;2;0
8;2903;204;311;12;3;1
8;3146;248;182;0;4;1
8;-1477;503;277;0;5;0
8;3092;-5;182;0;6;1
8;-1469;753;270;0;7;0
8;2947;-47;209;4;8;1
8;3084;127;182;359;9;1
8;-1327;755;140;356;10;0
8;-1442;868;270;0;1;0
8;-1414;723;262;354;2;0
8;2903;204;312;12;3;1
8;3146;248;182;0;4;1
8;-1477;503;277;0;5;0
8;3092;-5;182;0;6;1
8;-1469;753;270;0;7;0
8;2947;-47;205;7;8;1
8;3084;127;182;359;9;1
8;-1327;755;233;359;10;0
8;-1442;868;270;0;1;0
8;-1414;723;264;354;2;0
8;2903;204;312;12;3;1
8;3146;248;182;0;4;1
8;-1477;503;292;358;5;0
8;3092;-5;182;0;6;1
8;-1469;753;270;0;7;0
8;2947;-47;208;1;8;1
8;3084;127;182;359;9;1
8;-1327;755;255;0;10;0
8;-1442;868;270;0;1;0
8;-1414;723;270;1;2;0
8;2903;204;14;11;3;1
8;3146;248;190;2;4;1
8;-1477;503;352;6;5;0
8;3092;-5;182;0;6;1
8;-1469;753;270;1;7;0
8;2947;-47;208;0;8;1
8;3084;127;182;359;9;1
8;-1327;755;256;0;10;0
8;-1442;868;270;0;1;0
8;-1414;723;269;1;2;0
8;2903;204;287;7;3;1
8;3146;248;199;6;4;1
8;-1477;503;69;3;5;0
8;3092;-5;182;0;6;1
8;-1469;753;308;4;7;0
8;2947;-47;208;0;8;1
8;3084;127;182;359;9;1
8;-1327;755;258;3;10;0
8;-1442;868;270;0;1;0
8;-1414;723;269;1;2;0
8;2903;204;287;7;3;1
8;3146;248;219;4;4;1
8;-1477;503;69;3;5;0
8;3092;-5;182;0;6;1
8;-1469;753;311;5;7;0
8;2947;-47;208;0;8;1
8;3084;127;196;14;9;1
8;-1327;755;258;2;10;0
8;-1442;868;270;0;1;0
8;-1414;723;269;1;2;0
8;2903;204;247;8;3;1
8;3146;248;219;5;4;1
8;-1477;503;319;358;5;0
8;3092;-5;182;0;6;1
8;-1469;753;324;358;7;0
8;2947;-47;208;0;8;1
8;3084;127;195;19;9;1
8;-1327;755;258;2;10;0
8;-1442;868;270;0;1;0
8;-1414;723;269;1;2;0
8;2903;204;203;2;3;1
8;3146;248;205;3;4;1
8;-1477;503;325;358;5;0
8;3092;-5;182;0;6;1
8;-1469;753;319;359;7;0
8;2947;-47;209;0;8;1
8;3084;127;190;16;9;1
8;-1327;755;258;2;10;0
8;-1442;868;266;6;1;0
8;-1414;723;269;1;2;0
8;2903;204;196;355;3;1
8;3146;248;201;3;4;1
8;-1477;503;86;358;5;0
8;3092;-5;181;358;6;1
8;-1469;753;319;359;7;0
8;2947;-47;209;0;8;1
8;3084;127;190;16;9;1
8;-1327;755;258;2;10;0
8;-1442;868;268;7;1;0
8;-1414;723;269;1;2;0
8;2903;204;207;356;3;1
8;3146;248;210;7;4;1
8;-1477;503;76;358;5;0
8;3092;-5;181;358;6;1
8;-1469;753;319;359;7;0
8;2947;-47;209;0;8;1
8;3084;127;190;16;9;1
8;-1327;755;258;2;10;0
8;-1442;868;268;6;1;0
8;-1414;723;269;1;2;0
8;2903;204;197;355;3;1
8;3146;248;225;6;4;1
8;-1477;503;66;359;5;0
8;3092;-5;181;358;6;1
8;-1469;753;325;359;7;0
8;2947;-47;209;0;8;1
8;3084;127;196;18;9;1
8;-1327;755;258;2;10;0
8;-1442;868;269;6;1;0
8;-1414;723;270;1;2;0
8;2903;204;184;347;3;1
8;3146;248;207;5;4;1
8;-1477;503;14;359;5;0
8;3092;-5;182;359;6;1
8;-1469;753;328;358;7;0
8;2947;-47;209;0;8;1
8;3084;127;196;20;9;1
8;-1327;755;259;0;10;0
8;-1498;708;269;6;1;0
8;-1425;546;280;3;2;0
8;2817;74;181;331;3;1
8;2985;169;207;5;4;1
8;-1410;432;314;355;5;0
8;2911;-11;181;359;6;1
8;-1510;592;343;358;7;0
8;2796;-130;209;0;8;1
8;2917;102;151;19;9;1
8;-1349;582;252;358;10;0
8;-1468;460;298;7;1;0
8;-1339;339;351;6;2;0
8;2575;63;167;345;3;1
8;2817;40;206;5;4;1
8;-1235;279;316;358;5;0
8;2664;-33;170;357;6;1
8;-1433;365;355;359;7;0
8;2582;-266;215;1;8;1
8;2661;95;190;18;9;1
8;-1401;361;337;359;10;0
8;-1284;345;324;8;1;0
8;-1101;267;30;7;2;0
8;2336;84;173;350;3;1
8;2666;-27;185;6;4;1
8;-1041;110;316;358;5;0
8;2629;-20;181;341;6;1
8;-1258;239;355;359;7;0
8;2387;-411;225;1;8;1
8;2416;17;190;18;9;1
8;-1186;271;34;359;10;0
8;-1101;187;326;7;1;0
8;-982;454;89;0;2;0
8;2087;106;159;358;3;1
8;2477;-132;163;3;4;1
8;-843;-45;322;355;5;0
8;2398;-24;175;341;6;1
8;-1003;195;355;359;7;0
8;2213;-572;210;356;8;1
8;2227;148;135;16;9;1
8;-1005;372;89;358;10;0
8;-913;15;311;7;1;0
8;-973;711;86;2;2;0
8;1851;187;151;347;3;1
8;2245;-66;163;2;4;1
8;-716;-264;303;352;5;0
8;2164;23;156;353;6;1
8;-770;159;355;359;7;0
8;1992;-657;189;353;8;1
8;2055;330;153;14;9;1
8;-950;620;81;357;10;0
8;-752;-184;307;9;1;0
8;-950;968;72;3;2;0
8;1612;209;151;344;3;1
8;2097;137;175;3;4;1
8;-578;-463;310;358;5;0
8;1935;140;149;2;6;1
8;-548;138;357;359;7;0
8;1758;-697;189;352;8;1
8;1855;471;153;14;9;1
8;-949;869;80;357;10;0
8;-612;-394;298;7;1;0
8;-844;1150;27;3;2;0
8;1397;82;187;3;3;1
8;1920;321;188;3;4;1
8;-508;-692;18;5;5;0
8;1701;241;182;4;6;1
8;-548;67;358;0;7;0
8;1530;-685;196;357;8;1
8;1652;624;152;13;9;1
8;-944;1113;34;6;10;0
8;-568;-634;334;15;1;0
8;-593;1153;28;3;2;0
8;1148;66;157;7;3;1
8;1708;252;157;4;4;1
8;-273;-703;345;1;5;0
8;1485;123;183;4;6;1
8;-552;60;359;1;7;0
8;1307;-757;199;358;8;1
8;1426;744;152;14;9;1
8;-757;1255;19;7;10;0
8;-344;-710;11;17;1;0
8;-362;1162;24;3;2;0
8;1057;126;167;2;3;1
8;1568;431;140;1;4;1
8;-52;-730;345;0;5;0
8;1266;7;183;4;6;1
8;-552;59;359;1;7;0
8;1116;-838;181;359;8;1
8;1210;740;187;10;9;1
8;-526;1336;18;3;10;0
8;-119;-656;344;7;1;0
8;-314;1237;25;3;2;0
8;1009;253;189;359;3;1
8;1396;598;157;359;4;1
8;-11;-627;338;359;5;0
8;1135;-153;165;3;6;1
8;-552;59;359;1;7;0
8;1070;-1041;157;0;8;1
8;966;734;174;9;9;1
8;-281;1398;18;3;10;0
8;-90;-553;332;359;1;0
8;-455;1301;24;3;2;0
8;1006;271;189;358;3;1
8;1167;641;165;0;4;1
8;-6;-612;334;0;5;0
8;1010;-352;249;2;6;1
8;-552;59;359;1;7;0
8;1066;-1058;156;1;8;1
8;772;666;110;1;9;1
8;-36;1479;18;3;10;0
8;-63;-410;327;359;1;0
8;-647;1320;243;6;2;0
8;960;401;194;359;3;1
8;921;693;160;359;4;1
8;4;-589;334;5;5;0
8;942;-597;252;6;6;1
8;-552;57;359;1;7;0
8;1054;-1088;154;1;8;1
8;711;714;100;5;9;1
8;77;1673;50;4;10;0
8;27;-351;1;351;1;0
8;-870;1246;358;5;2;0
8;947;320;192;359;3;1
8;718;656;97;1;4;1
8;0;-597;334;1;5;0
8;910;-851;184;8;6;1
8;-552;67;359;1;7;0
8;1053;-1090;154;1;8;1
8;742;944;116;7;9;1
8;176;1910;70;8;10;0
8;210;-337;309;1;1;0
8;-938;1118;18;2;2;0
8;940;348;193;358;3;1
8;649;888;100;0;4;1
8;-24;-650;334;2;5;0
8;793;-894;156;4;6;1
8;-552;103;351;1;7;0
8;1010;-1177;153;1;8;1
8;745;1181;123;7;9;1
8;248;2121;357;0;10;0
8;343;-468;297;1;1;0
8;-931;1083;25;0;2;0
8;1023;374;190;359;3;1
8;650;1047;100;0;4;1
8;8;-579;331;2;5;0
8;649;-1048;131;0;6;1
8;-684;198;286;2;7;0
8;848;-1265;152;359;8;1
8;737;1432;150;1;9;1
8;443;2188;340;359;10;0
8;-836;1130;23;0;2;0
8;1033;372;190;358;3;1
8;650;1047;101;359;4;1
8;-26;-718;291;359;5;0
8;630;-1066;114;8;6;1
8;-847;87;282;3;7;0
8;776;-1152;120;1;8;1
8;618;1597;144;1;9;1
8;667;2241;317;0;10;0
8;-728;1183;18;0;2;0
8;1032;333;176;0;3;1
8;673;932;102;359;4;1
8;-6;-937;256;1;5;0
8;529;-1031;131;2;6;1
8;-849;-166;309;2;7;0
8;765;-1125;150;0;8;1
8;664;1441;136;15;9;1
8;829;2236;295;1;10;0
8;-925;1119;20;0;2;0
8;1012;241;189;359;3;1
8;696;831;99;2;4;1
8;-51;-1163;190;5;5;0
8;442;-856;151;1;6;1
8;-867;-419;314;1;7;0
8;740;-929;153;359;8;1
8;735;1444;140;10;9;1
8;918;2124;291;0;10;0
8;-920;1030;27;359;2;0
8;989;351;193;358;3;1
8;824;676;11;8;4;1
8;-103;-1295;53;2;5;0
8;436;-639;196;0;6;1
8;-839;-659;352;1;7;0
8;546;-848;153;358;8;1
8;729;1533;160;23;9;1
8;972;1997;292;3;10;0
8;-917;1039;26;359;2;0
8;957;427;241;4;3;1
8;1048;643;63;4;4;1
8;-138;-1302;57;2;5;0
8;357;-467;230;359;6;1
8;-899;-847;4;358;7;0
8;446;-645;126;8;8;1
8;730;1423;141;17;9;1
8;1093;1983;270;4;10;0
8;-910;1032;25;359;2;0
8;1003;323;194;1;3;1
8;1233;684;92;357;4;1
8;296;-388;240;359;6;1
8;-911;-895;8;359;7;0
8;347;-437;129;7;8;1
8;825;1612;188;14;9;1
8;1168;1984;271;5;10;0
8;-916;1046;25;359;2;0
8;1003;341;189;359;3;1
8;1374;702;101;356;4;1
8;78;-373;209;2;6;1
8;-908;-912;9;358;7;0
8;237;-332;195;5;8;1
8;659;1629;161;1;9;1
8;1062;1975;281;5;10;0
8;-910;1034;26;359;2;0
8;1026;317;170;358;3;1
8;1501;767;109;359;4;1
8;-119;-461;228;359;6;1
8;-906;-923;10;358;7;0
8;47;-381;224;2;8;1
8;697;1422;271;15;9;1
8;967;1946;228;7;10;0
8;-910;1034;26;359;2;0
8;1013;116;234;5;3;1
8;1657;771;345;6;4;1
8;-163;-695;218;357;6;1
8;-905;-927;10;358;7;0
8;-94;-395;264;2;8;1
8;666;1186;123;15;9;1
8;923;2079;198;9;10;0
8;-910;1034;26;359;2;0
8;1143;-97;308;10;3;1
8;1835;611;13;10;4;1
8;-907;-915;8;359;7;0
8;-201;-587;242;2;8;1
8;613;1330;115;14;9;1
8;715;2100;173;7;10;0
8;-910;1034;26;359;2;0
8;1037;-293;241;9;3;1
8;1983;692;97;8;4;1
8;-906;-922;10;358;7;0
8;-274;-721;212;1;8;1
8;617;1359;143;18;9;1
8;467;2127;206;8;10;0
8;-914;1043;25;359;2;0
8;995;-531;267;14;3;1
8;1994;736;163;9;4;1
8;-905;-927;10;358;7;0
8;-279;-717;216;359;8;1
8;609;1209;101;12;9;1
8;251;2109;262;4;10;0
8;-916;1047;24;359;2;0
8;956;-776;235;14;3;1
8;2035;812;227;10;4;1
8;-902;-944;12;358;7;0
8;-279;-717;216;359;8;1
8;577;1182;98;10;9;1
8;232;2068;221;6;10;0
8;-920;1054;24;359;2;0
8;802;-872;186;8;3;1
8;2032;816;226;4;4;1
8;-902;-942;12;358;7;0
8;-238;-801;190;0;8;1
8;601;1294;105;8;9;1
8;178;1994;315;0;10;0
8;-922;1058;23;359;2;0
8;562;-886;166;6;3;1
8;2028;823;218;2;4;1
8;-224;-856;187;7;8;1
8;593;1402;113;8;9;1
8;-49;1968;257;2;10;0
8;-945;1011;314;5;2;0
8;399;-760;171;4;3;1
8;2020;832;243;0;4;1
8;-376;-866;182;5;8;1
8;521;1453;98;8;9;1
8;-184;1805;270;3;10;0
8;-988;788;282;2;2;0
8;210;-686;192;0;3;1
8;2012;832;274;2;4;1
8;-579;-932;113;359;8;1
8;515;1428;96;10;9;1
8;-209;1844;15;1;10;0
8;-975;561;280;0;2;0
8;69;-868;240;10;3;1
8;1981;830;267;1;4;1
8;-789;-985;93;358;8;1
8;521;1485;100;11;9;1
8;-181;1952;344;1;10;0
8;-834;498;286;1;2;0
8;15;-1123;243;11;3;1
8;2031;789;226;0;4;1
8;-776;-983;94;3;8;1
8;629;1517;144;4;9;1
8;-142;2020;324;2;10;0
8;-821;496;269;0;2;0
8;-152;-1224;157;6;3;1
8;1988;739;198;359;4;1
8;-883;-985;86;0;8;1
8;685;1629;185;7;9;1
8;-107;1987;322;0;10;0
8;-811;425;267;0;2;0
8;-152;-1224;119;4;3;1
8;1993;692;174;359;4;1
8;-881;-985;87;2;8;1
8;660;1764;207;4;9;1
8;-156;1912;329;1;10;0
8;-754;372;263;3;2;0
8;-152;-1224;119;4;3;1
8;1968;705;174;359;4;1
8;-937;-981;78;0;8;1
8;637;1873;233;5;9;1
8;-140;1954;334;0;10;0
8;-763;321;285;1;2;0
8;-152;-1224;157;6;3;1
8;1968;701;173;0;4;1
8;-1081;-956;75;359;8;1
8;563;1933;250;4;9;1
8;-196;1853;24;2;10;0
8;-739;220;264;2;2;0
8;-304;-1227;114;11;3;1
8;1967;696;171;358;4;1
8;-1035;-968;76;358;8;1
8;538;1890;258;5;9;1
8;-344;1738;306;2;10;0
8;-743;219;264;2;2;0
8;-374;-1019;150;7;3;1
8;1968;699;173;359;4;1
8;517;1898;254;10;9;1
8;-397;1523;350;2;10;0
8;-823;306;328;2;2;0
8;-543;-958;119;2;3;1
8;1968;703;175;359;4;1
8;515;1862;250;9;9;1
8;-455;1314;18;0;10;0
8;-985;240;288;0;2;0
8;-658;-960;102;0;3;1
8;1968;706;179;0;4;1
8;562;1854;220;5;9;1
8;-662;1220;259;5;10;0
8;-584;-944;38;2;3;1
8;1968;706;177;0;4;1
8;593;1813;205;4;9;1
8;-838;1103;264;7;10;0
8;-466;-914;112;7;3;1
